iter	Logloss
0	0.6902746313
1	0.6874649823
2	0.6847058003
3	0.6819921241
4	0.6793485712
5	0.6767470201
6	0.6741842764
7	0.6716874051
8	0.6692348082
9	0.6668301489
10	0.664481004
11	0.6621680845
12	0.6598925444
13	0.657673494
14	0.6554914832
15	0.653350383
16	0.6512453172
17	0.6491861122
18	0.6471541901
19	0.6451575548
20	0.6432065949
21	0.641300905
22	0.6394296176
23	0.6375861155
24	0.6357799102
25	0.634001765
26	0.6322707851
27	0.6305683097
28	0.6288927184
29	0.6272501291
30	0.625645412
31	0.6240524533
32	0.6225071132
33	0.6209802969
34	0.6194902357
35	0.6180254365
36	0.61658183
37	0.6151617932
38	0.6137777351
39	0.6124235128
40	0.6110893117
41	0.6097764206
42	0.6084920379
43	0.6072322395
44	0.6059882895
45	0.6047736001
46	0.6035766656
47	0.6024085654
48	0.6012567178
49	0.6001266273
