iter	Passed	Remaining
0	2	235
1	4	232
2	7	230
3	9	231
4	12	233
5	14	231
6	17	228
7	19	223
8	22	223
9	24	219
10	26	215
11	28	211
12	31	208
13	33	205
14	35	203
15	38	200
16	40	197
17	42	195
18	45	193
19	47	189
20	49	187
21	52	185
22	54	182
23	56	179
24	58	176
25	61	173
26	63	171
27	65	169
28	68	166
29	70	164
30	72	161
31	74	158
32	77	156
33	79	153
34	81	151
35	84	149
36	86	147
37	89	145
38	91	143
39	93	140
40	96	138
41	98	136
42	100	133
43	103	131
44	105	129
45	107	126
46	110	124
47	112	122
48	115	119
49	117	117
50	119	115
51	122	112
52	124	110
53	127	108
54	129	106
55	133	104
56	136	102
57	138	100
58	141	98
59	143	95
60	145	93
61	148	90
62	151	88
63	154	86
64	157	84
65	160	82
66	162	80
67	165	77
68	168	75
69	170	73
70	173	70
71	175	68
72	178	65
73	180	63
74	183	61
75	185	58
76	188	56
77	191	53
78	193	51
79	195	48
80	198	46
81	200	44
82	202	41
83	205	39
84	207	36
85	210	34
86	212	31
87	215	29
88	217	26
89	219	24
90	222	21
91	224	19
92	226	17
93	229	14
94	231	12
95	233	9
96	236	7
97	238	4
98	240	2
99	243	0
