Number_1,Number_2,Observed,Expected,Lift,Phi,Chi_Square,Significant,Relationship
13,45,3,7.95,0.243,-0.159,10.33,True,repel
29,35,4,7.95,0.303,-0.153,9.55,True,repel
19,32,18,7.95,1.826,0.152,9.42,True,attract
5,28,1,7.95,0.114,-0.152,9.5,True,repel
2,31,1,7.95,0.121,-0.146,8.73,True,repel
24,43,2,7.95,0.224,-0.135,7.41,True,repel
2,4,2,7.95,0.224,-0.135,7.45,True,repel
19,20,3,7.95,0.291,-0.134,7.34,True,repel
25,41,3,7.95,0.3,-0.13,6.91,True,repel
16,32,2,7.95,0.232,-0.13,6.95,True,repel
12,33,2,7.95,0.235,-0.129,6.84,True,repel
1,11,3,7.95,0.31,-0.126,6.44,True,repel
2,47,3,7.95,0.312,-0.125,6.36,True,repel
14,45,3,7.95,0.314,-0.124,6.28,True,repel
3,43,15,7.95,1.679,0.118,5.67,True,attract
16,38,3,7.95,0.328,-0.118,5.72,True,repel
12,39,4,7.95,0.384,-0.117,5.6,True,repel
15,16,1,7.95,0.165,-0.116,5.47,True,repel
7,41,3,7.95,0.342,-0.113,5.21,True,repel
2,8,4,7.95,0.395,-0.113,5.22,True,repel
11,28,3,7.95,0.341,-0.113,5.25,True,repel
15,40,2,7.95,0.275,-0.112,5.11,True,repel
29,45,5,7.95,0.443,-0.111,5.03,True,repel
25,30,4,7.95,0.399,-0.111,5.08,True,repel
11,19,15,7.95,1.623,0.11,4.97,True,attract
34,40,3,7.95,0.351,-0.11,4.94,True,repel
9,19,3,7.95,0.354,-0.109,4.83,True,repel
5,20,4,7.95,0.407,-0.109,4.84,True,repel
20,28,4,7.95,0.407,-0.109,4.84,True,repel
2,5,16,7.95,1.581,0.108,4.81,True,attract
18,37,2,7.95,0.285,-0.108,4.75,True,repel
28,32,15,7.95,1.598,0.107,4.66,True,attract
28,47,3,7.95,0.359,-0.107,4.68,True,repel
6,9,3,7.95,0.36,-0.107,4.65,True,repel
22,34,3,7.95,0.362,-0.106,4.6,True,repel
11,29,4,7.95,0.419,-0.105,4.48,True,repel
28,29,15,7.95,1.573,0.103,4.36,True,attract
22,38,5,7.95,0.47,-0.102,4.25,True,repel
32,39,4,7.95,0.426,-0.102,4.3,True,repel
23,39,2,7.95,0.303,-0.102,4.22,True,repel
36,47,3,7.95,0.378,-0.101,4.15,True,repel
20,31,13,7.95,1.62,0.101,4.19,True,attract
27,33,3,7.95,0.379,-0.1,4.13,True,repel
4,37,3,7.95,0.38,-0.1,4.11,True,repel
3,14,3,7.95,0.385,-0.099,3.98,True,repel
3,16,3,7.95,0.385,-0.099,3.98,True,repel
3,17,3,7.95,0.385,-0.099,3.98,True,repel
40,42,6,7.95,0.516,-0.098,3.93,True,repel
7,21,4,7.95,0.443,-0.097,3.88,True,repel
21,27,16,7.95,1.502,0.097,3.82,False,attract
17,36,3,7.95,0.391,-0.097,3.81,False,repel
9,44,3,7.95,0.391,-0.097,3.81,False,repel
21,30,5,7.95,0.484,-0.097,3.89,True,repel
28,37,4,7.95,0.447,-0.096,3.77,False,repel
