Date,Num1,Num2,Num3,Num4,Num5,Num6,Bonus
26 Nov 2025,11,12,24,29,33,34,09
22 Nov 2025,02,13,29,32,35,44,45
19 Nov 2025,20,26,32,36,45,47,06
15 Nov 2025,02,05,12,24,25,44,46
11 Nov 2025,13,14,30,36,37,41,46
08 Nov 2025,09,15,20,27,31,39,35
05 Nov 2025,01,12,17,28,32,45,46
01 Nov 2025,11,12,13,22,26,32,08
29 Oct 2025,04,15,19,21,39,45,44
25 Oct 2025,03,21,35,36,42,43,01
22 Oct 2025,08,16,26,28,34,41,42
18 Oct 2025,06,13,14,27,35,44,47
15 Oct 2025,16,23,35,43,45,46,17
11 Oct 2025,06,13,16,27,28,36,15
08 Oct 2025,06,12,20,25,37,44,46
04 Oct 2025,05,21,22,39,40,43,12
01 Oct 2025,06,11,12,19,28,42,13
27 Sep 2025,01,12,22,24,40,41,32
24 Sep 2025,01,09,14,27,30,44,18
20 Sep 2025,03,07,19,33,40,45,20
17 Sep 2025,05,08,13,19,39,46,02
13 Sep 2025,01,10,29,30,32,39,42
10 Sep 2025,05,16,21,40,42,45,29
06 Sep 2025,01,04,37,38,40,43,16
03 Sep 2025,05,07,27,30,40,46,16
30 Aug 2025,01,02,25,36,37,45,09
27 Aug 2025,02,06,20,22,26,39,05
23 Aug 2025,02,05,07,08,29,39,11
20 Aug 2025,07,09,12,17,21,29,38
16 Aug 2025,11,18,19,26,32,36,07
13 Aug 2025,12,21,25,40,44,47,29
09 Aug 2025,04,06,11,39,41,46,10
06 Aug 2025,11,12,21,33,43,47,31
02 Aug 2025,02,03,06,09,24,39,34
30 Jul 2025,04,24,26,31,39,40,44
26 Jul 2025,12,19,24,32,35,36,22
23 Jul 2025,02,05,26,34,37,41,45
19 Jul 2025,03,05,06,23,41,42,12
16 Jul 2025,13,16,18,22,29,39,41
12 Jul 2025,19,23,28,29,42,46,37
09 Jul 2025,04,10,15,17,18,22,23
05 Jul 2025,01,17,24,30,33,44,10
02 Jul 2025,10,24,25,33,42,47,32
28 Jun 2025,07,13,18,19,40,43,05
25 Jun 2025,01,05,14,21,38,46,06
21 Jun 2025,15,19,24,31,34,42,30
18 Jun 2025,06,23,30,32,39,42,01
14 Jun 2025,20,32,33,44,46,47,42
11 Jun 2025,04,23,28,30,32,33,14
07 Jun 2025,05,07,22,23,36,47,19
04 Jun 2025,04,06,24,27,39,45,11
31 May 2025,03,10,13,38,40,47,08
28 May 2025,06,08,11,21,40,41,17
24 May 2025,09,11,12,23,42,43,20
21 May 2025,03,07,13,29,37,40,01
17 May 2025,08,33,34,36,40,47,45
14 May 2025,12,13,17,20,22,31,06
10 May 2025,02,09,24,30,38,40,34
07 May 2025,01,05,08,13,14,47,24
03 May 2025,11,12,28,35,45,46,31
30 Apr 2025,11,16,23,34,39,47,14
26 Apr 2025,11,14,21,25,29,39,33
23 Apr 2025,08,19,31,32,33,43,40
19 Apr 2025,06,18,25,26,36,43,44
16 Apr 2025,10,16,19,21,42,45,25
12 Apr 2025,08,14,19,26,28,32,43
09 Apr 2025,13,21,27,42,43,47,06
05 Apr 2025,08,14,18,28,38,40,42
02 Apr 2025,04,14,19,20,22,25,11
29 Mar 2025,14,24,30,34,42,45,19
26 Mar 2025,03,08,18,20,30,43,46
22 Mar 2025,14,20,26,30,31,40,37
19 Mar 2025,06,12,21,31,32,47,15
15 Mar 2025,03,13,22,24,25,31,42
12 Mar 2025,06,18,26,28,30,40,21
08 Mar 2025,18,28,29,30,36,38,01
05 Mar 2025,03,05,13,32,38,44,17
01 Mar 2025,02,06,07,10,28,32,19
26 Feb 2025,18,22,24,35,37,39,13
22 Feb 2025,08,28,29,34,44,45,43
19 Feb 2025,02,27,28,29,38,44,20
15 Feb 2025,08,15,23,27,28,32,11
12 Feb 2025,05,11,26,37,46,47,35
08 Feb 2025,04,05,11,30,42,47,03
05 Feb 2025,04,05,12,30,31,35,01
01 Feb 2025,24,26,30,35,36,40,16
29 Jan 2025,05,12,14,27,34,42,25
25 Jan 2025,02,20,26,29,32,41,38
22 Jan 2025,01,02,17,18,45,46,09
18 Jan 2025,14,25,30,38,39,42,22
15 Jan 2025,08,09,10,11,41,46,45
11 Jan 2025,10,12,15,25,45,46,20
08 Jan 2025,06,17,27,28,35,44,29
04 Jan 2025,05,10,13,36,37,46,39
01 Jan 2025,09,16,20,33,39,45,07
28 Dec 2024,02,04,05,10,16,17,23
25 Dec 2024,01,15,19,23,35,47,45
21 Dec 2024,01,14,16,20,33,41,22
18 Dec 2024,02,23,25,26,30,38,43
14 Dec 2024,05,17,22,33,41,46,14
11 Dec 2024,14,16,18,28,33,41,17
07 Dec 2024,01,06,08,31,37,43,38
04 Dec 2024,05,19,26,33,42,47,22
30 Nov 2024,04,07,20,24,25,44,45
27 Nov 2024,09,21,23,25,40,41,27
23 Nov 2024,05,09,25,36,37,40,33
20 Nov 2024,07,10,12,19,21,32,09
16 Nov 2024,01,10,13,14,22,28,07
13 Nov 2024,02,05,19,27,32,43,41
09 Nov 2024,11,12,17,31,43,45,20
06 Nov 2024,06,20,29,30,32,41,27
02 Nov 2024,14,18,31,32,36,38,44
30 Oct 2024,21,23,26,28,41,43,13
26 Oct 2024,03,28,31,32,41,45,09
23 Oct 2024,02,05,07,10,12,13,01
19 Oct 2024,11,16,23,24,40,44,19
16 Oct 2024,04,05,13,14,36,40,27
12 Oct 2024,06,18,29,31,45,47,25
09 Oct 2024,13,24,30,37,45,46,33
05 Oct 2024,16,22,36,39,41,45,35
02 Oct 2024,12,27,30,35,36,38,41
28 Sep 2024,04,06,13,27,29,32,47
25 Sep 2024,01,07,17,20,22,31,35
21 Sep 2024,04,15,29,38,41,46,32
18 Sep 2024,10,26,30,39,41,42,16
14 Sep 2024,12,13,20,33,37,42,23
11 Sep 2024,03,12,19,24,27,38,32
07 Sep 2024,09,17,27,39,41,43,22
04 Sep 2024,33,34,37,42,45,47,01
31 Aug 2024,05,14,15,29,38,43,17
28 Aug 2024,02,15,18,27,29,38,30
24 Aug 2024,07,20,28,42,43,45,02
21 Aug 2024,03,10,13,37,42,47,35
17 Aug 2024,08,09,14,30,42,47,16
14 Aug 2024,05,16,32,37,41,45,01
10 Aug 2024,03,08,13,26,27,35,38
07 Aug 2024,12,17,21,22,36,40,25
03 Aug 2024,13,19,24,37,38,42,15
31 Jul 2024,08,15,22,35,38,45,41
27 Jul 2024,09,19,28,35,37,43,15
24 Jul 2024,03,20,25,27,37,45,02
20 Jul 2024,01,08,10,14,35,39,04
17 Jul 2024,06,08,12,17,19,38,45
13 Jul 2024,10,18,19,28,29,36,12
10 Jul 2024,02,09,14,20,23,40,38
06 Jul 2024,19,21,24,26,28,32,27
03 Jul 2024,08,19,28,32,34,44,30
29 Jun 2024,01,04,08,21,27,28,34
26 Jun 2024,03,09,12,18,42,46,35
22 Jun 2024,07,14,23,31,33,34,42
19 Jun 2024,13,22,26,28,32,33,09
15 Jun 2024,04,16,17,20,25,29,09
12 Jun 2024,04,19,30,32,35,43,22
08 Jun 2024,03,25,28,37,39,43,36
05 Jun 2024,08,12,13,16,21,35,10
01 Jun 2024,02,03,22,24,29,35,18
29 May 2024,12,25,35,38,39,45,34
25 May 2024,01,12,16,25,27,35,26
22 May 2024,01,13,19,20,26,33,43
18 May 2024,01,05,12,35,37,42,34
15 May 2024,08,11,27,35,39,44,15
11 May 2024,08,16,24,27,28,42,30
08 May 2024,04,15,28,42,44,47,17
04 May 2024,08,10,21,33,39,47,25
01 May 2024,07,08,11,22,37,42,38
27 Apr 2024,11,19,26,30,38,44,13
24 Apr 2024,02,04,13,16,19,32,41
20 Apr 2024,01,09,10,14,26,40,04
17 Apr 2024,07,11,25,34,42,44,10
13 Apr 2024,17,31,33,38,39,42,28
10 Apr 2024,04,05,06,14,32,34,35
06 Apr 2024,04,08,09,22,27,45,46
03 Apr 2024,01,04,05,06,13,17,38
30 Mar 2024,11,17,18,29,34,43,41
27 Mar 2024,02,08,17,22,26,29,06
23 Mar 2024,13,14,19,24,30,40,07
20 Mar 2024,01,13,17,20,26,41,37
16 Mar 2024,10,12,22,29,30,41,15
13 Mar 2024,02,09,23,25,28,34,35
09 Mar 2024,07,13,31,40,43,46,01
06 Mar 2024,03,07,10,13,17,38,46
02 Mar 2024,02,05,07,24,38,45,44
28 Feb 2024,06,07,16,26,38,44,10
24 Feb 2024,10,17,24,27,38,46,21
21 Feb 2024,15,19,25,26,46,47,35
17 Feb 2024,04,31,35,39,41,44,36
14 Feb 2024,01,05,10,15,44,47,45
10 Feb 2024,04,16,22,28,39,44,33
07 Feb 2024,11,22,24,27,30,35,03
03 Feb 2024,02,12,20,24,36,45,23
31 Jan 2024,10,14,21,28,42,46,02
27 Jan 2024,03,08,10,24,32,41,30
24 Jan 2024,02,03,22,38,39,42,43
20 Jan 2024,12,13,19,30,34,37,11
17 Jan 2024,03,04,12,13,25,29,17
13 Jan 2024,02,15,23,36,38,40,46
10 Jan 2024,02,08,12,26,44,45,24
06 Jan 2024,20,26,31,34,35,43,05
03 Jan 2024,01,06,07,19,28,40,14
30 Dec 2023,13,21,27,34,36,43,35
27 Dec 2023,10,14,22,31,40,43,20
23 Dec 2023,05,22,23,36,40,41,42
20 Dec 2023,05,22,24,29,32,37,31
16 Dec 2023,07,09,13,23,34,36,25
13 Dec 2023,01,08,20,25,37,46,47
09 Dec 2023,02,10,11,21,34,45,19
06 Dec 2023,03,24,29,31,38,40,13
02 Dec 2023,07,15,17,20,27,43,12
29 Nov 2023,02,03,06,21,28,47,32
25 Nov 2023,13,17,21,22,37,42,02
22 Nov 2023,03,04,23,30,31,43,07
18 Nov 2023,04,11,19,22,32,42,45
15 Nov 2023,11,13,16,19,37,42,06
11 Nov 2023,14,18,24,28,29,39,09
08 Nov 2023,02,10,16,25,39,45,03
04 Nov 2023,08,24,29,37,41,42,22
01 Nov 2023,07,08,09,26,36,42,37
28 Oct 2023,07,13,27,30,36,39,02
25 Oct 2023,08,13,25,29,31,38,21
21 Oct 2023,08,12,16,20,26,35,23
18 Oct 2023,03,07,09,11,38,39,01
14 Oct 2023,08,09,22,23,29,46,42
11 Oct 2023,02,12,16,24,39,40,25
07 Oct 2023,23,25,28,32,33,44,29
04 Oct 2023,01,06,08,12,13,16,35
30 Sep 2023,02,21,28,32,43,45,35
27 Sep 2023,20,34,35,36,42,44,13
23 Sep 2023,02,05,16,19,41,44,26
20 Sep 2023,06,10,21,24,26,29,47
16 Sep 2023,03,12,13,27,34,44,43
13 Sep 2023,16,17,21,30,35,41,43
09 Sep 2023,03,28,29,42,43,46,12
06 Sep 2023,05,16,21,29,31,41,40
02 Sep 2023,03,07,13,24,25,33,30
30 Aug 2023,02,03,26,30,32,45,15
26 Aug 2023,06,11,17,37,39,45,47
23 Aug 2023,06,18,19,27,39,45,21
19 Aug 2023,01,02,12,21,29,44,27
16 Aug 2023,06,11,20,21,36,37,01
12 Aug 2023,14,27,32,37,41,47,29
09 Aug 2023,04,11,17,18,25,32,09
05 Aug 2023,01,13,20,21,40,47,06
02 Aug 2023,06,07,12,14,38,40,41
29 Jul 2023,13,21,24,35,37,46,01
26 Jul 2023,01,26,30,42,44,47,19
22 Jul 2023,02,03,23,30,34,35,44
19 Jul 2023,03,20,24,28,29,31,13
15 Jul 2023,12,26,28,34,42,45,14
12 Jul 2023,07,10,22,32,37,40,17
08 Jul 2023,05,16,17,18,22,28,02
05 Jul 2023,04,14,15,18,32,34,03
01 Jul 2023,06,08,11,24,42,46,43
28 Jun 2023,03,09,18,21,25,34,37
24 Jun 2023,11,12,31,35,42,47,04
21 Jun 2023,04,08,13,23,28,38,18
17 Jun 2023,02,03,21,43,44,46,07
14 Jun 2023,01,02,20,35,38,40,37
