Number_1,Number_2,Observed,Expected,Lift,Phi,Chi_Square,Significant,Relationship
13,45,3,8.0,0.245,-0.157,10.18,True,repel
5,28,1,8.0,0.111,-0.155,9.84,True,repel
29,35,4,8.0,0.305,-0.151,9.39,True,repel
19,32,18,8.0,1.811,0.149,9.16,True,attract
2,31,1,8.0,0.122,-0.145,8.63,True,repel
2,4,2,8.0,0.225,-0.134,7.34,True,repel
24,43,2,8.0,0.226,-0.133,7.31,True,repel
19,20,3,8.0,0.293,-0.132,7.22,True,repel
16,32,2,8.0,0.23,-0.131,7.04,True,repel
12,33,2,8.0,0.234,-0.13,6.92,True,repel
25,41,3,8.0,0.302,-0.128,6.79,True,repel
14,45,3,8.0,0.311,-0.125,6.41,True,repel
2,47,3,8.0,0.314,-0.123,6.26,True,repel
12,39,4,8.0,0.381,-0.118,5.69,True,repel
16,38,3,8.0,0.33,-0.117,5.62,True,repel
15,16,1,8.0,0.163,-0.116,5.59,True,repel
3,43,15,8.0,1.663,0.115,5.46,True,attract
7,41,3,8.0,0.339,-0.114,5.32,True,repel
34,40,3,8.0,0.34,-0.113,5.27,True,repel
15,40,2,8.0,0.271,-0.113,5.24,True,repel
1,11,4,8.0,0.397,-0.112,5.16,True,repel
18,37,2,8.0,0.276,-0.111,5.07,True,repel
2,8,4,8.0,0.398,-0.111,5.12,True,repel
5,20,4,8.0,0.403,-0.11,4.95,True,repel
25,30,4,8.0,0.402,-0.11,4.98,True,repel
20,28,4,8.0,0.403,-0.11,4.95,True,repel
9,19,3,8.0,0.35,-0.109,4.94,True,repel
29,45,5,8.0,0.446,-0.109,4.93,True,repel
28,47,3,8.0,0.355,-0.108,4.78,True,repel
6,9,3,8.0,0.356,-0.108,4.76,True,repel
11,29,4,8.0,0.409,-0.108,4.78,True,repel
7,10,14,8.0,1.632,0.107,4.68,True,attract
2,5,16,8.0,1.566,0.106,4.62,True,attract
11,19,15,8.0,1.582,0.104,4.47,True,attract
22,38,5,8.0,0.466,-0.103,4.35,True,repel
32,39,4,8.0,0.423,-0.103,4.39,True,repel
23,39,2,8.0,0.299,-0.103,4.34,True,repel
20,31,13,8.0,1.631,0.102,4.31,True,attract
28,32,15,8.0,1.559,0.101,4.19,True,attract
3,14,3,8.0,0.374,-0.101,4.24,True,repel
28,29,15,8.0,1.559,0.101,4.19,True,attract
27,33,3,8.0,0.376,-0.101,4.2,True,repel
9,44,3,8.0,0.381,-0.099,4.07,True,repel
3,16,3,8.0,0.381,-0.099,4.07,True,repel
22,44,4,8.0,0.437,-0.099,4.01,True,repel
36,47,3,8.0,0.38,-0.099,4.08,True,repel
4,37,3,8.0,0.382,-0.099,4.03,True,repel
3,17,3,8.0,0.381,-0.099,4.07,True,repel
11,28,4,8.0,0.436,-0.099,4.04,True,repel
7,21,4,8.0,0.438,-0.098,3.98,True,repel
2,11,5,8.0,0.482,-0.098,3.95,True,repel
28,37,4,8.0,0.443,-0.097,3.86,True,repel
11,38,5,8.0,0.489,-0.096,3.77,False,repel
45,46,16,8.0,1.498,0.096,3.76,False,attract
21,30,5,8.0,0.488,-0.096,3.79,False,repel
40,42,6,8.0,0.52,-0.096,3.83,False,repel
14,21,4,8.0,0.446,-0.096,3.8,False,repel
24,30,14,8.0,1.554,0.096,3.81,False,attract
17,36,3,8.0,0.394,-0.095,3.74,False,repel
3,45,5,8.0,0.492,-0.095,3.7,False,repel
31,43,12,8.0,1.602,0.094,3.63,False,attract
21,27,16,8.0,1.491,0.094,3.68,False,attract
41,47,4,8.0,0.452,-0.094,3.66,False,repel
1,23,3,8.0,0.401,-0.094,3.61,False,repel
6,35,7,8.0,0.56,-0.093,3.56,False,repel
14,35,6,8.0,0.532,-0.093,3.58,False,repel
37,38,5,8.0,0.497,-0.093,3.59,False,repel
1,2,6,8.0,0.535,-0.092,3.48,False,repel
13,32,6,8.0,0.536,-0.092,3.46,False,repel
43,47,4,8.0,0.459,-0.092,3.5,False,repel
22,34,4,8.0,0.461,-0.092,3.45,False,repel
33,47,11,8.0,1.623,0.092,3.46,False,attract
32,34,4,8.0,0.461,-0.092,3.45,False,repel
10,31,3,8.0,0.407,-0.092,3.47,False,repel
27,37,5,8.0,0.504,-0.091,3.42,False,repel
12,30,6,8.0,0.536,-0.091,3.45,False,repel
10,40,5,8.0,0.503,-0.091,3.43,False,repel
17,35,6,8.0,0.542,-0.09,3.37,False,repel
20,38,6,8.0,0.543,-0.09,3.31,False,repel
34,41,4,8.0,0.468,-0.09,3.3,False,repel
23,29,3,8.0,0.413,-0.09,3.34,False,repel
3,13,15,8.0,1.475,0.089,3.24,False,attract
32,46,5,8.0,0.511,-0.089,3.27,False,repel
41,43,5,8.0,0.511,-0.089,3.27,False,repel
16,41,13,8.0,1.522,0.088,3.18,False,attract
35,42,9,8.0,0.62,-0.088,3.17,False,repel
8,31,3,8.0,0.42,-0.088,3.18,False,repel
17,19,4,8.0,0.476,-0.087,3.15,False,repel
43,45,6,8.0,0.553,-0.087,3.1,False,repel
6,30,5,8.0,0.519,-0.087,3.1,False,repel
6,47,13,8.0,1.516,0.087,3.11,False,attract
2,42,7,8.0,0.581,-0.087,3.09,False,repel
16,43,4,8.0,0.476,-0.087,3.15,False,repel
1,3,5,8.0,0.521,-0.086,3.07,False,repel
5,41,14,8.0,1.477,0.085,3.0,False,attract
10,43,5,8.0,0.527,-0.085,2.94,False,repel
20,21,6,8.0,0.559,-0.085,2.97,False,repel
27,40,6,8.0,0.559,-0.085,2.97,False,repel
19,46,5,8.0,0.527,-0.085,2.94,False,repel
6,23,3,8.0,0.433,-0.085,2.94,False,repel
