Rank,Number,Current_Gap,Mean_Gap,Z_Score,Due_Probability,Overdue_By
1,38,23,4.72,3.865,0.8865,18.28
2,29,21,4.75,3.161,0.8161,16.25
3,40,15,4.97,1.978,0.6978,10.03
4,33,19,6.83,1.497,0.6497,12.17
5,42,9,4.37,0.953,0.5953,4.63
6,6,11,5.3,0.885,0.5885,5.7
7,47,11,6.09,0.762,0.5762,4.91
8,43,9,5.47,0.635,0.5635,3.53
9,16,10,6.33,0.522,0.5522,3.67
10,21,8,5.14,0.496,0.5496,2.86
11,19,8,5.47,0.429,0.5429,2.53
12,26,7,5.22,0.375,0.5375,1.78
13,45,6,4.71,0.296,0.5296,1.29
14,4,8,6.67,0.217,0.5217,1.33
15,35,5,3.91,0.207,0.5207,1.09
16,8,7,5.85,0.173,0.5173,1.15
17,20,5,4.77,0.057,0.5057,0.23
18,17,6,6.46,-0.075,0.4925,0
19,39,5,5.54,-0.08,0.492,0
20,13,4,4.81,-0.152,0.4848,0
21,41,4,5.4,-0.214,0.4786,0
22,30,4,5.33,-0.293,0.4707,0
23,36,4,6.25,-0.331,0.4669,0
24,37,4,5.65,-0.346,0.4654,0
25,31,5,7.42,-0.379,0.4621,0
26,2,3,4.99,-0.386,0.4614,0
27,25,3,5.48,-0.47,0.453,0
28,46,3,5.49,-0.479,0.4521,0
29,24,3,6.09,-0.553,0.4447,0
30,27,2,5.06,-0.612,0.4388,0
31,1,2,5.14,-0.628,0.4372,0
32,7,2,6.18,-0.706,0.4294,0
33,10,2,5.59,-0.717,0.4283,0
34,28,0,5.8,-0.737,0.4263,0
35,5,1,5.83,-0.74,0.426,0
36,14,1,6.15,-0.742,0.4258,0
37,18,1,6.79,-0.745,0.4255,0
38,23,1,8.07,-0.763,0.4237,0
39,44,1,5.96,-0.769,0.4231,0
40,12,1,4.77,-0.784,0.4216,0
41,11,0,5.7,-0.789,0.4211,0
42,32,1,5.36,-0.832,0.4168,0
43,34,0,6.11,-0.853,0.4147,0
44,3,0,6.07,-0.875,0.4125,0
45,9,0,6.47,-1.016,0.3984,0
46,22,0,5.41,-1.044,0.3956,0
47,15,0,8.07,-1.076,0.3924,0
