Number,Mean_Gap,Median_Gap,Std_Gap,CV,Min,Max,P90,Consistency_Score,Total_Gaps
1,5.14,4.0,5.0,0.974,0,28,12,0.507,66
2,4.99,4.0,5.15,1.033,0,29,10,0.492,68
3,6.07,3.0,6.94,1.143,0,31,14,0.467,58
4,6.67,5.0,6.14,0.919,0,28,15,0.521,52
5,5.83,3.5,6.53,1.12,0,29,16,0.472,60
6,5.3,3,6.44,1.216,0,36,11,0.451,61
7,6.18,4.0,5.92,0.959,0,24,16,0.511,56
8,5.85,4,6.65,1.136,0,31,16,0.468,59
9,6.47,5,6.37,0.984,0,30,15,0.504,55
10,5.59,5,5.01,0.896,0,22,12,0.528,61
11,5.7,4,7.22,1.265,0,44,14,0.442,61
12,4.77,4,4.81,1.008,0,21,11,0.498,71
13,4.81,3.0,5.32,1.105,0,27,13,0.475,70
14,6.15,3,6.94,1.13,0,28,16,0.47,55
15,8.07,6,7.5,0.93,0,26,20,0.518,45
16,6.33,3.0,7.03,1.109,0,24,20,0.474,54
17,6.46,4.5,6.13,0.949,0,30,15,0.513,54
18,6.79,3.5,7.77,1.144,0,39,17,0.466,48
19,5.47,4.0,5.9,1.079,0,29,12,0.481,62
20,4.77,4.0,4.01,0.84,0,20,11,0.543,66
21,5.14,3,5.77,1.123,0,29,12,0.471,65
22,5.41,4.0,5.18,0.958,0,26,11,0.511,64
23,8.07,5,9.27,1.15,0,38,21,0.465,45
24,6.09,5,5.59,0.918,0,26,15,0.521,57
25,5.48,4,5.28,0.963,0,21,12,0.509,63
26,5.22,5,4.75,0.91,0,26,10,0.523,65
27,5.06,4.0,5.0,0.989,0,25,11,0.503,66
28,5.8,4.0,7.87,1.356,0,50,15,0.424,60
29,4.75,3.0,5.14,1.082,0,19,14,0.48,64
30,5.33,5,4.54,0.85,0,16,12,0.54,63
31,7.42,6.0,6.39,0.862,0,26,16,0.537,48
32,5.36,4.0,5.24,0.977,0,23,13,0.506,64
33,6.83,4.0,8.13,1.189,0,35,20,0.457,48
34,6.11,3.0,7.16,1.171,0,41,14,0.461,54
35,3.91,2.0,5.26,1.343,0,23,9,0.427,82
36,6.25,4.0,6.79,1.086,0,32,13,0.479,56
37,5.65,4.0,4.77,0.844,0,18,14,0.542,60
38,4.72,3,4.73,1.002,0,21,11,0.499,67
39,5.54,3,6.76,1.219,0,27,16,0.451,59
40,4.97,3,5.07,1.019,0,22,11,0.495,65
41,5.4,3,6.55,1.214,0,34,13,0.452,63
42,4.37,2,4.86,1.114,0,21,10,0.473,71
43,5.47,3.5,5.56,1.018,0,22,14,0.496,62
44,5.96,4,6.45,1.081,0,30,13,0.48,57
45,4.71,4.0,4.36,0.925,0,18,11,0.519,70
46,5.49,4,5.2,0.946,0,24,11,0.514,61
47,6.09,4.0,6.44,1.057,0,28,17,0.486,56
