Feature_1,Feature_2,Interaction_Strength,Type,WinRate_High_High,WinRate_High_Low,WinRate_Low_High,WinRate_Low_Low
total_count,recent_4,3.0,synergistic,0.8571,0,0,0
total_count,recent_14,3.0,synergistic,0.8571,0,0,0
total_count,freshness_bin,3.0,synergistic,0.8571,0,0,0
total_count,bonus_hit_contribution,3.0,synergistic,0.8571,0,0,0
recent_4,recent_14,3.0,synergistic,0.8571,0,0,0
recent_4,freshness_bin,3.0,synergistic,0.8571,0,0,0
recent_4,bonus_hit_contribution,3.0,synergistic,0.8571,0,0,0
recent_14,freshness_bin,3.0,synergistic,0.8571,0,0,0
recent_14,bonus_hit_contribution,3.0,synergistic,0.8571,0,0,0
freshness_bin,bonus_hit_contribution,3.0,synergistic,0.8571,0,0,0
total_count,recent_9,1.0156,synergistic,0.8605,0.8472,0,0
recent_4,recent_9,1.0156,synergistic,0.8605,0.8472,0,0
recent_9,recent_14,1.0156,synergistic,0.8605,0,0.8472,0
recent_9,freshness_bin,1.0156,synergistic,0.8605,0,0.8472,0
recent_9,bonus_hit_contribution,1.0156,synergistic,0.8605,0,0.8472,0
total_count,days_since_last,1.0005,synergistic,0.8573,0.8569,0,0
days_since_last,recent_4,1.0005,synergistic,0.8573,0,0.8569,0
days_since_last,recent_14,1.0005,synergistic,0.8573,0,0.8569,0
days_since_last,freshness_bin,1.0005,synergistic,0.8573,0,0.8569,0
days_since_last,bonus_hit_contribution,1.0005,synergistic,0.8573,0,0.8569,0
days_since_last,recent_9,0.011,neutral,0.866,0.846,0.8569,0.8571
